time	order	parallel	delta_t	repetition
4.630333E+00	2	false	0.001000	1
4.322531E+00	2	false	0.001000	2
4.286837E+00	2	false	0.001000	3
4.193734E+00	2	false	0.001000	4
4.190521E+00	2	false	0.001000	5
3.800615E+00	2	false	0.005000	1
3.828262E+00	2	false	0.005000	2
3.787297E+00	2	false	0.005000	3
3.942821E+00	2	false	0.005000	4
3.703629E+00	2	false	0.005000	5
8.428668E+00	2	false	0.000100	1
8.173805E+00	2	false	0.000100	2
8.181512E+00	2	false	0.000100	3
8.291816E+00	2	false	0.000100	4
8.266876E+00	2	false	0.000100	5
4.647198E+00	2	false	0.000500	1
4.672958E+00	2	false	0.000500	2
4.649283E+00	2	false	0.000500	3
4.754210E+00	2	false	0.000500	4
4.658284E+00	2	false	0.000500	5
5.222244E+00	4	false	0.001000	1
5.168572E+00	4	false	0.001000	2
5.189911E+00	4	false	0.001000	3
5.199566E+00	4	false	0.001000	4
5.214983E+00	4	false	0.001000	5
4.030723E+00	4	false	0.005000	1
4.032459E+00	4	false	0.005000	2
3.995390E+00	4	false	0.005000	3
4.016529E+00	4	false	0.005000	4
4.001553E+00	4	false	0.005000	5
1.787819E+01	4	false	0.000100	1
1.794255E+01	4	false	0.000100	2
1.833699E+01	4	false	0.000100	3
1.859461E+01	4	false	0.000100	4
1.813479E+01	4	false	0.000100	5
6.760054E+00	4	false	0.000500	1
6.664634E+00	4	false	0.000500	2
6.659773E+00	4	false	0.000500	3
6.667074E+00	4	false	0.000500	4
6.765790E+00	4	false	0.000500	5
5.376956E+01	2	true	0.001000	1
3.026035E+01	2	true	0.001000	2
3.348172E+01	2	true	0.001000	3
3.842334E+01	2	true	0.001000	4
3.630630E+01	2	true	0.001000	5
1.437220E+01	2	true	0.005000	1
9.153958E+00	2	true	0.005000	2
9.288059E+00	2	true	0.005000	3
9.407427E+00	2	true	0.005000	4
9.681746E+00	2	true	0.005000	5
2.688893E+02	2	true	0.000100	1
2.664233E+02	2	true	0.000100	2
2.727059E+02	2	true	0.000100	3
2.691412E+02	2	true	0.000100	4
2.661153E+02	2	true	0.000100	5
6.107348E+01	2	true	0.000500	1
5.824946E+01	2	true	0.000500	2
5.729200E+01	2	true	0.000500	3
5.762675E+01	2	true	0.000500	4
5.924001E+01	2	true	0.000500	5
3.486588E+01	4	true	0.001000	1
3.592789E+01	4	true	0.001000	2
3.683809E+01	4	true	0.001000	3
3.414960E+01	4	true	0.001000	4
3.421765E+01	4	true	0.001000	5
9.907326E+00	4	true	0.005000	1
9.767891E+00	4	true	0.005000	2
1.034386E+01	4	true	0.005000	3
9.736514E+00	4	true	0.005000	4
9.797777E+00	4	true	0.005000	5
3.096254E+02	4	true	0.000100	1
3.124496E+02	4	true	0.000100	2
3.081729E+02	4	true	0.000100	3
3.072315E+02	4	true	0.000100	4
3.027494E+02	4	true	0.000100	5
6.347466E+01	4	true	0.000500	1
6.398020E+01	4	true	0.000500	2
6.380706E+01	4	true	0.000500	3
6.329659E+01	4	true	0.000500	4
6.354526E+01	4	true	0.000500	5
